#songId, title, artist_name, artist_id, song_type, key, energy, liveness, tempo, speechiness, acousticness, instrumentalness, mode, time_signature, duration, loudness, valence, danceability

SOQCBYO13167713679,"Gimme Shelter","The Rolling Stones",ARFCUN31187B9AD578,"live, electric, vocal",1,0.95958,0.974898,112.666,0.07907,0.056288,0.000498,0,4,411.07955,-4.427,0.302623,0.376881
SOKXGSH144ACF9E6C2,"Paint It Black","The Rolling Stones",ARFCUN31187B9AD578,"studio, electric, vocal",1,0.856961,0.360684,159.705,0.100783,0.013683,0.082823,1,4,225.66621,-7.989,0.750692,0.499497
SODKESJ144AD0F745F,"Paint It, Black","The Rolling Stones",ARFCUN31187B9AD578,"studio, electric, vocal",5,0.773938,0.334615,158.765,0.091139,0.05142,0.006069,0,4,204.30621,-9.947,0.576506,0.463979
SOCMGGC1376F36F9E4,"Sympathy For The Devil","The Rolling Stones",ARFCUN31187B9AD578,"studio, vocal",9,0.637911,0.036351,116.139,0.194796,0.62856,0,1,4,377.74177,-11.761,0.60295,0.695898
SOXLUPQ13E6AA5F8F7,"Sympathy for the Devil","The Rolling Stones",ARFCUN31187B9AD578,"studio, vocal",9,0.616958,0.090916,119.968,0.043789,0.653133,0,1,4,229.13288,-6.483,0.741839,0.692767
SOQCBYO13167713679,"Gimme Shelter","The Rolling Stones",ARFCUN31187B9AD578,"live, electric, vocal",1,0.95958,0.974898,112.666,0.07907,0.056288,0.000498,0,4,411.07955,-4.427,0.302623,0.376881
SOKXGSH144ACF9E6C2,"Paint It Black","The Rolling Stones",ARFCUN31187B9AD578,"studio, electric, vocal",1,0.856961,0.360684,159.705,0.100783,0.013683,0.082823,1,4,225.66621,-7.989,0.750692,0.499497
SOCMGGC1376F36F9E4,"Sympathy For The Devil","The Rolling Stones",ARFCUN31187B9AD578,"studio, vocal",9,0.637911,0.036351,116.139,0.194796,0.62856,0,1,4,377.74177,-11.761,0.60295,0.695898
SOCMAAD12B20E5E4D5,"Here Comes The Sun","The Beatles",AR6XZ861187FB4CECD,"studio, electric, vocal",9,0.52713,0.19293,129.12,0.036888,0.040511,0.004314,1,4,185.73497,-11.002,0.388493,0.553594
SOFVDDC12B20E5E527,"Let It Be","The Beatles",AR6XZ861187FB4CECD,"acoustic, studio, vocal",0,0.151389,0.100089,138.217,0.033641,0.908727,0.096204,1,4,229.19791,-18.873,0.502793,0.475928
SONTWXX1367980F152,"Come Together","The Beatles",AR6XZ861187FB4CECD,"studio, electric, vocal",9,0.29494,0.098208,164.953,0.040847,0.029775,0.374206,0,4,258.45615,-16.247,0.212257,0.529528
SOIZJXL12B20E5E51A,"In My Life","The Beatles",AR6XZ861187FB4CECD,"studio, vocal",9,0.348156,0.108641,103.306,0.034031,0.51392,0,1,4,145.58104,-15.14,0.406388,0.70129
SOBQMOD135977386AD,"Hey Jude","The Beatles",AR6XZ861187FB4CECD,"studio, electric, vocal",5,0.462577,0.106562,148.127,0.024347,0.275356,4.0E-6,1,4,300.06907,-10.116,0.527583,0.464355
SOCKBTE12B20E5E4E3,Yesterday,"The Beatles",AR6XZ861187FB4CECD,"studio, vocal",5,0.117538,0.097363,174.623,0.028741,0.869201,0,1,1,124.57859,-15.724,0.381342,0.282362
SOZXWLS13B20077457,"Love Me Do","The Beatles",AR6XZ861187FB4CECD,"studio, vocal",7,0.571702,0.193284,148.042,0.065311,0.644015,2.0E-6,1,4,143.43955,-13.231,0.866459,0.530106
